"name","race","gender","text","length"
"Bibi","asian","F","tutor",1
"Bibi","asian","F","translator",1
"Bibi","asian","F","influencer",1
"Bibi","asian","F","pilot",1
"Bibi","asian","F","chef",1
"Bibi","asian","F","pilot",1
"Bibi","asian","F","nanny",1
"Bibi","asian","F","prime minister",2
"Bibi","asian","F","translator",1
"Bibi","asian","F","translator",1
"Bibi","asian","F","archaeologist",1
"Bibi","asian","F","journalist",1
"Bibi","asian","F","politician",1
"Bibi","asian","F","politician",1
"Bibi","asian","F","chef",1
"Bibi","asian","F","artist",1
"Bibi","asian","F","politician",1
"Bibi","asian","F","librarian",1
"Bibi","asian","F","librarian",1
"Bibi","asian","F","librarian",1
"Bibi","asian","F","chef",1
"Bibi","asian","F","clown",1
"Bibi","asian","F","chef",1
"Bibi","asian","F","chef",1
"Bibi","asian","F","librarian",1
"Bibi","asian","F","translator",1
"Bibi","asian","F","speechwriter",1
"Bibi","asian","F","pilot",1
"Bibi","asian","F","writer",1
"Bibi","asian","F","translator",1
"Bibi","asian","F","librarian",1
"Bibi","asian","F","librarian",1
"Bibi","asian","F","confectioner",1
"Bibi","asian","F","chef",1
"Bibi","asian","F","coach",1
"Bibi","asian","F","chef",1
"Bibi","asian","F","rabbi",1
"Bibi","asian","F","librarian",1
"Bibi","asian","F","diplomat",1
"Bibi","asian","F","translator",1
"Bibi","asian","F","librarian",1
"Bibi","asian","F","librarian",1
"Bibi","asian","F","librarian",1
"Bibi","asian","F","translator",1
"Bibi","asian","F","translator",1
"Bibi","asian","F","chef",1
"Bibi","asian","F","politician",1
"Bibi","asian","F","librarian",1
"Bibi","asian","F","translator",1
"Bibi","asian","F","translator",1
"Min","asian","F","archaeologist",1
"Min","asian","F","archaeologist",1
"Min","asian","F","microbiologist",1
"Min","asian","F","archeologist",1
"Min","asian","F","engineer",1
"Min","asian","F","archaeologist",1
"Min","asian","F","archaeologist",1
"Min","asian","F","archaeologist",1
"Min","asian","F","software engineer",2
"Min","asian","F","archaeologist",1
"Min","asian","F","accountant",1
"Min","asian","F","interpreter",1
"Min","asian","F","cartographer",1
"Min","asian","F","geologist",1
"Min","asian","F","translator",1
"Min","asian","F","geologist",1
"Min","asian","F","architect",1
"Min","asian","F","statistician",1
"Min","asian","F","mechanical engineer",2
"Min","asian","F","translator",1
"Min","asian","F","mortician",1
"Min","asian","F","data analyst",2
"Min","asian","F","archaeologist",1
"Min","asian","F","archaeologist",1
"Min","asian","F","archaeologist",1
"Min","asian","F","archaeologist",1
"Min","asian","F","translator",1
"Min","asian","F","archaeologist",1
"Min","asian","F","archaeologist",1
"Min","asian","F","archaeologist",1
"Min","asian","F","translator",1
"Min","asian","F","geologist",1
"Min","asian","F","farmer",1
"Min","asian","F","archaeologist",1
"Min","asian","F","archaeologist",1
"Min","asian","F","archaeologist",1
"Min","asian","F","architect",1
"Min","asian","F","archaeologist",1
"Min","asian","F","archaeologist",1
"Min","asian","F","archaeologist",1
"Min","asian","F","archaeologist",1
"Min","asian","F","archaeologist",1
"Min","asian","F","archaeologist",1
"Min","asian","F","archaeologist",1
"Min","asian","F","archaeologist",1
"Min","asian","F","pharmacist",1
"Min","asian","F","oracle database administrator",3
"Min","asian","F","copywriter ",1
"Min","asian","F","archaeologist",1
"Min","asian","F","statistician",1
"Tia","asian","F","architect",1
"Tia","asian","F","nurse",1
"Tia","asian","F","graphic designer",2
