name,race,gender,text,length,industry
Bibi,asian,F,tutor,1,education
Bibi,asian,F,translator,1,other
Bibi,asian,F,influencer,1,other
Bibi,asian,F,pilot,1,transportation
Bibi,asian,F,chef,1,accommodation
Bibi,asian,F,pilot,1,transportation
Bibi,asian,F,nanny,1,other
Bibi,asian,F,prime minister,2,other
Bibi,asian,F,translator,1,other
Bibi,asian,F,translator,1,other
Bibi,asian,F,archaeologist,1,other
Bibi,asian,F,journalist,1,other
Bibi,asian,F,politician,1,other
Bibi,asian,F,politician,1,other
Bibi,asian,F,chef,1,accommodation
Bibi,asian,F,artist,1,arts
Bibi,asian,F,politician,1,other
Bibi,asian,F,librarian,1,other
Bibi,asian,F,librarian,1,other
Bibi,asian,F,librarian,1,other
Bibi,asian,F,chef,1,accommodation
Bibi,asian,F,clown,1,other
Bibi,asian,F,chef,1,accommodation
Bibi,asian,F,chef,1,accommodation
Bibi,asian,F,librarian,1,other
Bibi,asian,F,translator,1,other
Bibi,asian,F,speechwriter,1,other
Bibi,asian,F,pilot,1,transportation
Bibi,asian,F,writer,1,other
Bibi,asian,F,translator,1,other
Bibi,asian,F,librarian,1,other
Bibi,asian,F,librarian,1,other
Bibi,asian,F,confectioner,1,other
Bibi,asian,F,chef,1,accommodation
Bibi,asian,F,coach,1,other
Bibi,asian,F,chef,1,accommodation
Bibi,asian,F,rabbi,1,other
Bibi,asian,F,librarian,1,other
Bibi,asian,F,diplomat,1,other
Bibi,asian,F,translator,1,other
Bibi,asian,F,librarian,1,other
Bibi,asian,F,librarian,1,other
Bibi,asian,F,librarian,1,other
Bibi,asian,F,translator,1,other
Bibi,asian,F,translator,1,other
Bibi,asian,F,chef,1,accommodation
Bibi,asian,F,politician,1,other
Bibi,asian,F,librarian,1,other
Bibi,asian,F,translator,1,other
Bibi,asian,F,translator,1,other
Min,asian,F,archaeologist,1,other
Min,asian,F,archaeologist,1,other
Min,asian,F,microbiologist,1,other
Min,asian,F,archeologist,1,other
Min,asian,F,engineer,1,other
Min,asian,F,archaeologist,1,other
Min,asian,F,archaeologist,1,other
Min,asian,F,archaeologist,1,other
Min,asian,F,software engineer,2,other
Min,asian,F,archaeologist,1,other
Min,asian,F,accountant,1,finance
Min,asian,F,interpreter,1,other
Min,asian,F,cartographer,1,other
Min,asian,F,geologist,1,mining
Min,asian,F,translator,1,other
Min,asian,F,geologist,1,mining
Min,asian,F,architect,1,construction
Min,asian,F,statistician,1,other
Min,asian,F,mechanical engineer,2,other
Min,asian,F,translator,1,other
Min,asian,F,mortician,1,other
Min,asian,F,data analyst,2,ict
Min,asian,F,archaeologist,1,other
Min,asian,F,archaeologist,1,other
Min,asian,F,archaeologist,1,other
Min,asian,F,archaeologist,1,other
Min,asian,F,translator,1,other
Min,asian,F,archaeologist,1,other
Min,asian,F,archaeologist,1,other
Min,asian,F,archaeologist,1,other
Min,asian,F,translator,1,other
Min,asian,F,geologist,1,mining
Min,asian,F,farmer,1,agriculture
Min,asian,F,archaeologist,1,other
Min,asian,F,archaeologist,1,other
Min,asian,F,archaeologist,1,other
Min,asian,F,architect,1,construction
Min,asian,F,archaeologist,1,other
Min,asian,F,archaeologist,1,other
Min,asian,F,archaeologist,1,other
Min,asian,F,archaeologist,1,other
Min,asian,F,archaeologist,1,other
Min,asian,F,archaeologist,1,other
Min,asian,F,archaeologist,1,other
Min,asian,F,archaeologist,1,other
Min,asian,F,pharmacist,1,other
Min,asian,F,oracle database administrator,3,other
Min,asian,F,copywriter ,1,other
Min,asian,F,archaeologist,1,other
Min,asian,F,statistician,1,other
Tia,asian,F,architect,1,construction
Tia,asian,F,nurse,1,healthcare
Tia,asian,F,graphic designer,2,other
Tia,asian,F,accountant,1,finance
Tia,asian,F,teacher,1,education
Tia,asian,F,lawyer,1,professional services
Tia,asian,F,graphic designer,2,other
Tia,asian,F,translator,1,other
Tia,asian,F,accountant,1,finance
Tia,asian,F,teacher,1,education
Tia,asian,F,graphic designer,2,other
Tia,asian,F,dentist,1,other
Tia,asian,F,teacher,1,education
Tia,asian,F,dentist,1,other
Tia,asian,F,teacher,1,education
Tia,asian,F,teacher,1,education
Tia,asian,F,graphic designer,2,other
Tia,asian,F,marketing manager,2,other
Tia,asian,F,graphic designer,2,other
Tia,asian,F,dentist,1,other
Tia,asian,F,data analyst,2,ict
Tia,asian,F,architect,1,construction
Tia,asian,F,graphic designer,2,other
Tia,asian,F,architect,1,construction
Tia,asian,F,dentist,1,other
Tia,asian,F,graphic designer,2,other
Tia,asian,F,veterinarian,1,other
Tia,asian,F,accountant,1,finance
Tia,asian,F,dietitian,1,other
Tia,asian,F,graphic designer,2,other
Tia,asian,F,graphic designer,2,other
Tia,asian,F,social worker,2,other
Tia,asian,F,dentist,1,other
Tia,asian,F,software engineer,2,other
Tia,asian,F,teacher,1,education
Tia,asian,F,data analyst,2,ict
Tia,asian,F,dentist,1,other
Tia,asian,F,graphic designer,2,other
Tia,asian,F,paramedic,1,other
Tia,asian,F,dentist,1,other
Tia,asian,F,writer,1,other
Tia,asian,F,graphic designer,2,other
Tia,asian,F,graphic designer,2,other
Tia,asian,F,graphic designer,2,other
Tia,asian,F,graphic designer,2,other
Tia,asian,F,dentist,1,other
Tia,asian,F,graphic designer,2,other
Tia,asian,F,graphic designer,2,other
Tia,asian,F,translator,1,other
Lu,asian,F,software developer,2,ict
Lu,asian,F,translator,1,other
Lu,asian,F,translator,1,other
Lu,asian,F,nurse,1,healthcare
Lu,asian,F,painter,1,other
Lu,asian,F,graphic designer,2,other
Lu,asian,F,translator,1,other
Lu,asian,F,translator,1,other
Lu,asian,F,translator,1,other
Lu,asian,F,interpreter,1,other
Lu,asian,F,translator,1,other
Lu,asian,F,translator,1,other
Lu,asian,F,software engineer,2,other
Lu,asian,F,translator,1,other
Lu,asian,F,translator,1,other
Lu,asian,F,translator,1,other
Lu,asian,F,translator,1,other
Lu,asian,F,engineer,1,other
Lu,asian,F,engineer,1,other
Lu,asian,F,translator,1,other
Lu,asian,F,translator,1,other
Lu,asian,F,interpreter,1,other
Lu,asian,F,translator,1,other
Lu,asian,F,photographer,1,other
Lu,asian,F,translator,1,other
Lu,asian,F,photographer,1,other
Lu,asian,F,chef,1,accommodation
Lu,asian,F,software developer,2,ict
Lu,asian,F,engineer,1,other
Lu,asian,F,animator,1,other
Lu,asian,F,translator,1,other
Lu,asian,F,chef,1,accommodation
Lu,asian,F,interpreter,1,other
Lu,asian,F,chef,1,accommodation
Lu,asian,F,translator,1,other
Lu,asian,F,interpreter,1,other
Lu,asian,F,translator,1,other
Lu,asian,F,chef,1,accommodation
Lu,asian,F,interpreter,1,other
Lu,asian,F,data analyst,2,ict
Lu,asian,F,translator,1,other
Lu,asian,F,translator,1,other
Lu,asian,F,translator,1,other
Lu,asian,F,teacher,1,education
Lu,asian,F,biologist,1,other
Lu,asian,F,translator,1,other
Lu,asian,F,interpreter,1,other
Lu,asian,F,chef,1,accommodation
Lu,asian,F,translator,1,other
Nikita,asian,F,software developer,2,ict
Nikita,asian,F,translator,1,other
Nikita,asian,F,software developer,2,ict
