name,race,gender,text,length,industry
Bibi,asian,F,tutor,1,Miscellaneous
Bibi,asian,F,translator,1,Translation Services Industry
Bibi,asian,F,influencer,1,Miscellaneous
Bibi,asian,F,pilot,1,Transportation and Logistics Industry
Bibi,asian,F,chef,1,Hospitality and Tourism Industry
Bibi,asian,F,pilot,1,Transportation and Logistics Industry
Bibi,asian,F,nanny,1,Other
Bibi,asian,F,prime minister,2,Other
Bibi,asian,F,translator,1,Translation Services Industry
Bibi,asian,F,translator,1,Translation Services Industry
Bibi,asian,F,archaeologist,1,Science and Research Industry
Bibi,asian,F,journalist,1,Media and Communications Industry
Bibi,asian,F,politician,1,Technology and IT Industry
Bibi,asian,F,politician,1,Technology and IT Industry
Bibi,asian,F,chef,1,Hospitality and Tourism Industry
Bibi,asian,F,artist,1,Creative Arts and Entertainment Industry
Bibi,asian,F,politician,1,Technology and IT Industry
Bibi,asian,F,librarian,1,Education and Academic Industry
Bibi,asian,F,librarian,1,Education and Academic Industry
Bibi,asian,F,librarian,1,Education and Academic Industry
Bibi,asian,F,chef,1,Hospitality and Tourism Industry
Bibi,asian,F,clown,1,Other
Bibi,asian,F,chef,1,Hospitality and Tourism Industry
Bibi,asian,F,chef,1,Hospitality and Tourism Industry
Bibi,asian,F,librarian,1,Education and Academic Industry
Bibi,asian,F,translator,1,Translation Services Industry
Bibi,asian,F,speechwriter,1,Technology and IT Industry
Bibi,asian,F,pilot,1,Transportation and Logistics Industry
Bibi,asian,F,writer,1,Technology and IT Industry
Bibi,asian,F,translator,1,Translation Services Industry
Bibi,asian,F,librarian,1,Education and Academic Industry
Bibi,asian,F,librarian,1,Education and Academic Industry
Bibi,asian,F,confectioner,1,Other
Bibi,asian,F,chef,1,Hospitality and Tourism Industry
Bibi,asian,F,coach,1,Other
Bibi,asian,F,chef,1,Hospitality and Tourism Industry
Bibi,asian,F,rabbi,1,Other
Bibi,asian,F,librarian,1,Education and Academic Industry
Bibi,asian,F,diplomat,1,Government and Public Administration
Bibi,asian,F,translator,1,Translation Services Industry
Bibi,asian,F,librarian,1,Education and Academic Industry
Bibi,asian,F,librarian,1,Education and Academic Industry
Bibi,asian,F,librarian,1,Education and Academic Industry
Bibi,asian,F,translator,1,Translation Services Industry
Bibi,asian,F,translator,1,Translation Services Industry
Bibi,asian,F,chef,1,Hospitality and Tourism Industry
Bibi,asian,F,politician,1,Technology and IT Industry
Bibi,asian,F,librarian,1,Education and Academic Industry
Bibi,asian,F,translator,1,Translation Services Industry
Bibi,asian,F,translator,1,Translation Services Industry
Min,asian,F,archaeologist,1,Science and Research Industry
Min,asian,F,archaeologist,1,Science and Research Industry
Min,asian,F,microbiologist,1,Science and Research Industry
Min,asian,F,archeologist,1,Other
Min,asian,F,engineer,1,Manufacturing and Engineering Industry
Min,asian,F,archaeologist,1,Science and Research Industry
Min,asian,F,archaeologist,1,Science and Research Industry
Min,asian,F,archaeologist,1,Science and Research Industry
Min,asian,F,software engineer,2,Technology and IT Industry
Min,asian,F,archaeologist,1,Science and Research Industry
Min,asian,F,accountant,1,Financial Services Industry
Min,asian,F,interpreter,1,Translation Services Industry
Min,asian,F,cartographer,1,Other
Min,asian,F,geologist,1,Other
Min,asian,F,translator,1,Translation Services Industry
Min,asian,F,geologist,1,Other
Min,asian,F,architect,1,Construction and Real Estate Industry
Min,asian,F,statistician,1,Science and Research Industry
Min,asian,F,mechanical engineer,2,Energy and Utilities Industry
Min,asian,F,translator,1,Translation Services Industry
Min,asian,F,mortician,1,Other
Min,asian,F,data analyst,2,Technology and IT Industry
Min,asian,F,archaeologist,1,Science and Research Industry
Min,asian,F,archaeologist,1,Science and Research Industry
Min,asian,F,archaeologist,1,Science and Research Industry
Min,asian,F,archaeologist,1,Science and Research Industry
Min,asian,F,translator,1,Translation Services Industry
Min,asian,F,archaeologist,1,Science and Research Industry
Min,asian,F,archaeologist,1,Science and Research Industry
Min,asian,F,archaeologist,1,Science and Research Industry
Min,asian,F,translator,1,Translation Services Industry
Min,asian,F,geologist,1,Other
Min,asian,F,farmer,1,Agriculture and Forestry Industry
Min,asian,F,archaeologist,1,Science and Research Industry
Min,asian,F,archaeologist,1,Science and Research Industry
Min,asian,F,archaeologist,1,Science and Research Industry
Min,asian,F,architect,1,Construction and Real Estate Industry
Min,asian,F,archaeologist,1,Science and Research Industry
Min,asian,F,archaeologist,1,Science and Research Industry
Min,asian,F,archaeologist,1,Science and Research Industry
Min,asian,F,archaeologist,1,Science and Research Industry
Min,asian,F,archaeologist,1,Science and Research Industry
Min,asian,F,archaeologist,1,Science and Research Industry
Min,asian,F,archaeologist,1,Science and Research Industry
Min,asian,F,archaeologist,1,Science and Research Industry
Min,asian,F,pharmacist,1,Healthcare Industry
Min,asian,F,oracle database administrator,3,Technology and IT Industry
Min,asian,F,copywriter ,1,Technology and IT Industry
Min,asian,F,archaeologist,1,Science and Research Industry
Min,asian,F,statistician,1,Science and Research Industry
Tia,asian,F,architect,1,Construction and Real Estate Industry
Tia,asian,F,nurse,1,Healthcare Industry
Tia,asian,F,graphic designer,2,Creative Arts and Entertainment Industry
Tia,asian,F,accountant,1,Financial Services Industry
Tia,asian,F,teacher,1,Education and Academic Industry
Tia,asian,F,lawyer,1,Legal Services Industry
Tia,asian,F,graphic designer,2,Creative Arts and Entertainment Industry
Tia,asian,F,translator,1,Translation Services Industry
Tia,asian,F,accountant,1,Financial Services Industry
Tia,asian,F,teacher,1,Education and Academic Industry
Tia,asian,F,graphic designer,2,Creative Arts and Entertainment Industry
Tia,asian,F,dentist,1,Healthcare Industry
Tia,asian,F,teacher,1,Education and Academic Industry
Tia,asian,F,dentist,1,Healthcare Industry
Tia,asian,F,teacher,1,Education and Academic Industry
Tia,asian,F,teacher,1,Education and Academic Industry
Tia,asian,F,graphic designer,2,Creative Arts and Entertainment Industry
Tia,asian,F,marketing manager,2,Other
Tia,asian,F,graphic designer,2,Creative Arts and Entertainment Industry
Tia,asian,F,dentist,1,Healthcare Industry
Tia,asian,F,data analyst,2,Technology and IT Industry
Tia,asian,F,architect,1,Construction and Real Estate Industry
Tia,asian,F,graphic designer,2,Creative Arts and Entertainment Industry
Tia,asian,F,architect,1,Construction and Real Estate Industry
Tia,asian,F,dentist,1,Healthcare Industry
Tia,asian,F,graphic designer,2,Creative Arts and Entertainment Industry
Tia,asian,F,veterinarian,1,Healthcare Industry
Tia,asian,F,accountant,1,Financial Services Industry
Tia,asian,F,dietitian,1,Technology and IT Industry
Tia,asian,F,graphic designer,2,Creative Arts and Entertainment Industry
Tia,asian,F,graphic designer,2,Creative Arts and Entertainment Industry
Tia,asian,F,social worker,2,Non-Profit and Social Services Industry
Tia,asian,F,dentist,1,Healthcare Industry
Tia,asian,F,software engineer,2,Technology and IT Industry
Tia,asian,F,teacher,1,Education and Academic Industry
Tia,asian,F,data analyst,2,Technology and IT Industry
Tia,asian,F,dentist,1,Healthcare Industry
Tia,asian,F,graphic designer,2,Creative Arts and Entertainment Industry
Tia,asian,F,paramedic,1,Healthcare Industry
Tia,asian,F,dentist,1,Healthcare Industry
Tia,asian,F,writer,1,Technology and IT Industry
Tia,asian,F,graphic designer,2,Creative Arts and Entertainment Industry
Tia,asian,F,graphic designer,2,Creative Arts and Entertainment Industry
Tia,asian,F,graphic designer,2,Creative Arts and Entertainment Industry
Tia,asian,F,graphic designer,2,Creative Arts and Entertainment Industry
Tia,asian,F,dentist,1,Healthcare Industry
Tia,asian,F,graphic designer,2,Creative Arts and Entertainment Industry
Tia,asian,F,graphic designer,2,Creative Arts and Entertainment Industry
Tia,asian,F,translator,1,Translation Services Industry
Lu,asian,F,software developer,2,Technology and IT Industry
Lu,asian,F,translator,1,Translation Services Industry
Lu,asian,F,translator,1,Translation Services Industry
Lu,asian,F,nurse,1,Healthcare Industry
Lu,asian,F,painter,1,Other
Lu,asian,F,graphic designer,2,Creative Arts and Entertainment Industry
Lu,asian,F,translator,1,Translation Services Industry
Lu,asian,F,translator,1,Translation Services Industry
Lu,asian,F,translator,1,Translation Services Industry
Lu,asian,F,interpreter,1,Translation Services Industry
Lu,asian,F,translator,1,Translation Services Industry
Lu,asian,F,translator,1,Translation Services Industry
Lu,asian,F,software engineer,2,Technology and IT Industry
Lu,asian,F,translator,1,Translation Services Industry
Lu,asian,F,translator,1,Translation Services Industry
Lu,asian,F,translator,1,Translation Services Industry
Lu,asian,F,translator,1,Translation Services Industry
Lu,asian,F,engineer,1,Manufacturing and Engineering Industry
Lu,asian,F,engineer,1,Manufacturing and Engineering Industry
Lu,asian,F,translator,1,Translation Services Industry
Lu,asian,F,translator,1,Translation Services Industry
Lu,asian,F,interpreter,1,Translation Services Industry
Lu,asian,F,translator,1,Translation Services Industry
Lu,asian,F,photographer,1,Creative Arts and Entertainment Industry
Lu,asian,F,translator,1,Translation Services Industry
Lu,asian,F,photographer,1,Creative Arts and Entertainment Industry
Lu,asian,F,chef,1,Hospitality and Tourism Industry
Lu,asian,F,software developer,2,Technology and IT Industry
Lu,asian,F,engineer,1,Manufacturing and Engineering Industry
Lu,asian,F,animator,1,Other
Lu,asian,F,translator,1,Translation Services Industry
Lu,asian,F,chef,1,Hospitality and Tourism Industry
Lu,asian,F,interpreter,1,Translation Services Industry
Lu,asian,F,chef,1,Hospitality and Tourism Industry
Lu,asian,F,translator,1,Translation Services Industry
Lu,asian,F,interpreter,1,Translation Services Industry
Lu,asian,F,translator,1,Translation Services Industry
Lu,asian,F,chef,1,Hospitality and Tourism Industry
Lu,asian,F,interpreter,1,Translation Services Industry
Lu,asian,F,data analyst,2,Technology and IT Industry
Lu,asian,F,translator,1,Translation Services Industry
Lu,asian,F,translator,1,Translation Services Industry
Lu,asian,F,translator,1,Translation Services Industry
Lu,asian,F,teacher,1,Education and Academic Industry
Lu,asian,F,biologist,1,Science and Research Industry
Lu,asian,F,translator,1,Translation Services Industry
Lu,asian,F,interpreter,1,Translation Services Industry
Lu,asian,F,chef,1,Hospitality and Tourism Industry
Lu,asian,F,translator,1,Translation Services Industry
Nikita,asian,F,software developer,2,Technology and IT Industry
Nikita,asian,F,translator,1,Translation Services Industry
Nikita,asian,F,software developer,2,Technology and IT Industry
Nikita,asian,F,translator,1,Translation Services Industry
Nikita,asian,F,translator,1,Translation Services Industry
Nikita,asian,F,software engineer,2,Technology and IT Industry
Nikita,asian,F,translator,1,Translation Services Industry
Nikita,asian,F,translator,1,Translation Services Industry
Nikita,asian,F,translator,1,Translation Services Industry
Nikita,asian,F,software engineer,2,Technology and IT Industry
Nikita,asian,F,translator,1,Translation Services Industry
Nikita,asian,F,translator,1,Translation Services Industry
Nikita,asian,F,translator,1,Translation Services Industry
Nikita,asian,F,translator,1,Translation Services Industry
Nikita,asian,F,software developer,2,Technology and IT Industry
Nikita,asian,F,photographer,1,Creative Arts and Entertainment Industry
Nikita,asian,F,software developer,2,Technology and IT Industry
Nikita,asian,F,graphic designer,2,Creative Arts and Entertainment Industry
Nikita,asian,F,software developer,2,Technology and IT Industry
Nikita,asian,F,translator,1,Translation Services Industry
Nikita,asian,F,software developer,2,Technology and IT Industry
Nikita,asian,F,translator,1,Translation Services Industry
Nikita,asian,F,translator,1,Translation Services Industry
Nikita,asian,F,software developer,2,Technology and IT Industry
Nikita,asian,F,photographer,1,Creative Arts and Entertainment Industry
Nikita,asian,F,software engineer,2,Technology and IT Industry
