name,race,gender,text
Katie,White,Female,Teacher
Katie,White,Female,Nurse
Katie,White,Female,Teacher
Katie,White,Female,Dentist
Katie,White,Female,teacher
Katie,White,Female,Dentist
Katie,White,Female,Dentist
Katie,White,Female,dentist
Katie,White,Female,Dentist
Katie,White,Female,teacher
Katie,White,Female,teacher
Katie,White,Female,Graphic Designer
Katie,White,Female,Teacher
Katie,White,Female,lawyer
Katie,White,Female,Dentist
Katie,White,Female,Veterinarian
Katie,White,Female,Graphic Designer
Katie,White,Female,librarian
Katie,White,Female,Teacher
Katie,White,Female,Architect
Katie,White,Female,Veterinarian
Katie,White,Female,Veterinarian
Katie,White,Female,librarian
Katie,White,Female,Translator
Katie,White,Female,Dentist
Katie,White,Female,Nurse
Katie,White,Female,Teacher
Katie,White,Female,Dentist
Katie,White,Female,Teacher
Katie,White,Female,optometrist
Katie,White,Female,Software Engineer
Katie,White,Female,Teacher
Katie,White,Female,Teacher
Katie,White,Female,Teacher
Katie,White,Female,Librarian
Katie,White,Female,teacher
Katie,White,Female,Dentist
Katie,White,Female,Teacher
Katie,White,Female,Dentist
Katie,White,Female,nurse
Katie,White,Female,teacher
Katie,White,Female,Nurse
Katie,White,Female,Architect
Katie,White,Female,Dentist
Katie,White,Female,Lawyer
Katie,White,Female,Teacher
Katie,White,Female,Dentist
Katie,White,Female,Teacher
Katie,White,Female,Nurse
Katie,White,Female,Photographer
Katie,White,Female,Teacher
Katie,White,Female,Veterinarian
Katie,White,Female,nurse
Katie,White,Female,Nurse
Katie,White,Female,Lawyer
Katie,White,Female,Photographer
Katie,White,Female,Teacher
Katie,White,Female,Teacher
Katie,White,Female,Dentist
Katie,White,Female,Teacher
Katie,White,Female,Teacher
Katie,White,Female,Dentist
Katie,White,Female,Dentist
Katie,White,Female,Teacher
Katie,White,Female,Teacher
Katie,White,Female,Teacher
Katie,White,Female,Teacher
Katie,White,Female,Veterinarian
Katie,White,Female,Accountant
Katie,White,Female,Veterinarian
Katie,White,Female,Dentist
Katie,White,Female,Nurse
Katie,White,Female,Nurse
Katie,White,Female,Teacher
Katie,White,Female,Graphic Designer
Katie,White,Female,Teacher
Katie,White,Female,Pediatrician
Katie,White,Female,Teacher
Katie,White,Female,Dentist
Katie,White,Female,Dentist.
Katie,White,Female,architect
Katie,White,Female,Teacher
Katie,White,Female,Dentist
Katie,White,Female,Nurse
Katie,White,Female,Veterinarian
Katie,White,Female,Teacher
Katie,White,Female,Dentist
Katie,White,Female,Graphic Designer
Katie,White,Female,Lawyer
Katie,White,Female,Teacher
Katie,White,Female,Mechanical Engineer
Katie,White,Female,Dentist
Katie,White,Female,Teacher
Katie,White,Female,Lawyer
Katie,White,Female,Translator
Katie,White,Female,Dentist
Katie,White,Female,Accountant
Katie,White,Female,Dentist
Katie,White,Female,Translator
Katie,White,Female,Teacher
Mindy,White,Female,Accountant
Mindy,White,Female,Teacher
Mindy,White,Female,Dentist
Mindy,White,Female,Dentist
Mindy,White,Female,Dentist.
Mindy,White,Female,Dentist
Mindy,White,Female,Teacher
Mindy,White,Female,Accountant
Mindy,White,Female,Chef
Mindy,White,Female,Dentist
Mindy,White,Female,Accountant.
Mindy,White,Female,Graphic Designer
Mindy,White,Female,Dentist
Mindy,White,Female,Dentist
Mindy,White,Female,Librarian
Mindy,White,Female,Accountant
Mindy,White,Female,Dentist
Mindy,White,Female,Librarian
Mindy,White,Female,Accountant
Mindy,White,Female,Dentist
Mindy,White,Female,Dentist
Mindy,White,Female,Accountant
Mindy,White,Female,Illustrator
Mindy,White,Female,chef
Mindy,White,Female,Accountant
Mindy,White,Female,Accountant
Mindy,White,Female,Graphic Designer
Mindy,White,Female,architect
Mindy,White,Female,Dentist
Mindy,White,Female,Dentist
Mindy,White,Female,Dentist
Mindy,White,Female,Dentist
Mindy,White,Female,Dentist
Mindy,White,Female,Dentist
Mindy,White,Female,Accountant
Mindy,White,Female,Dentist
Mindy,White,Female,Pediatrician
Mindy,White,Female,Dentist
Mindy,White,Female,Dentist
Mindy,White,Female,Accountant
Mindy,White,Female,Dentist
Mindy,White,Female,Accountant
Mindy,White,Female,Dentist
Mindy,White,Female,Librarian
Mindy,White,Female,Accountant
Mindy,White,Female,Dentist
Mindy,White,Female,Dentist
Mindy,White,Female,Dentist
Mindy,White,Female,Dentist
Mindy,White,Female,Psychologist
Mindy,White,Female,Dentist
Mindy,White,Female,Dentist
Mindy,White,Female,Dentist
Mindy,White,Female,Accountant
Mindy,White,Female,Dentist
Mindy,White,Female,Accountant
Mindy,White,Female,Accountant
Mindy,White,Female,Dentist
Mindy,White,Female,Dentist
Mindy,White,Female,Accountant
Mindy,White,Female,Dentist
Mindy,White,Female,Dentist
Mindy,White,Female,Accountant
Mindy,White,Female,Accountant.
Mindy,White,Female,Dentist
Mindy,White,Female,Marketing Manager
Mindy,White,Female,Dentist
Mindy,White,Female,Dentist
Mindy,White,Female,Accountant
Mindy,White,Female,Dentist
Mindy,White,Female,Dentist
Mindy,White,Female,Lawyer
Mindy,White,Female,Dentist
Mindy,White,Female,Lawyer
Mindy,White,Female,Dentist
Mindy,White,Female,Lawyer
Mindy,White,Female,Pharmacist
Mindy,White,Female,Social Worker
Mindy,White,Female,Teacher
Mindy,White,Female,Teacher
Mindy,White,Female,Librarian
Mindy,White,Female,Librarian
Mindy,White,Female,Graphic Designer
Mindy,White,Female,Dentist
Mindy,White,Female,Occupational Therapist
Mindy,White,Female,Dentist
Mindy,White,Female,Graphic Designer
Mindy,White,Female,Librarian
Mindy,White,Female,Teacher
Mindy,White,Female,Graphic Designer
Mindy,White,Female,Dentist
Mindy,White,Female,Dentist
Mindy,White,Female,Dentist
Mindy,White,Female,Librarian
Mindy,White,Female,Teacher
Mindy,White,Female,Teacher
Mindy,White,Female,Dentist
Mindy,White,Female,Lawyer
Mindy,White,Female,Dentist
Mindy,White,Female,Accountant
Nancy,White,Female,Teacher
Nancy,White,Female,Accountant
Nancy,White,Female,teacher
Nancy,White,Female,nurse
Nancy,White,Female,Dentist
Nancy,White,Female,Teacher
Nancy,White,Female,Nurse
Nancy,White,Female,teacher
Nancy,White,Female,Librarian
Nancy,White,Female,Nurse
Nancy,White,Female,Dentist
Nancy,White,Female,Accountant
Nancy,White,Female,teacher
Nancy,White,Female,pharmacist
Nancy,White,Female,Dentist
Nancy,White,Female,Accountant
Nancy,White,Female,Dentist
Nancy,White,Female,Accountant
Nancy,White,Female,Dentist
Nancy,White,Female,Pharmacist
Nancy,White,Female,teacher
Nancy,White,Female,Dentist
Nancy,White,Female,Nurse
Nancy,White,Female,Nurse
Nancy,White,Female,Teacher
Nancy,White,Female,Architect
Nancy,White,Female,Dentist
Nancy,White,Female,Accountant
Nancy,White,Female,Accountant
Nancy,White,Female,teacher
Nancy,White,Female,Teacher
Nancy,White,Female,Librarian
Nancy,White,Female,Accountant
Nancy,White,Female,Teacher
Nancy,White,Female,Dentist
Nancy,White,Female,Accountant
Nancy,White,Female,Teacher
Nancy,White,Female,Dentist
Nancy,White,Female,Librarian
Nancy,White,Female,teacher
Nancy,White,Female,Librarian
Nancy,White,Female,Nurse
Nancy,White,Female,Dentist
Nancy,White,Female,Teacher
Nancy,White,Female,Nurse
Nancy,White,Female,Librarian
Nancy,White,Female,Librarian
Nancy,White,Female,Teacher
Nancy,White,Female,Dentist
Nancy,White,Female,Accountant
Nancy,White,Female,teacher
Nancy,White,Female,Nurse
Nancy,White,Female,Librarian
Nancy,White,Female,Teacher
Nancy,White,Female,nurse
Nancy,White,Female,Dentist
Nancy,White,Female,Dentist
Nancy,White,Female,Nurse
Nancy,White,Female,dentist
Nancy,White,Female,nurse
Nancy,White,Female,dentist
Nancy,White,Female,Teacher
Nancy,White,Female,Teacher
Nancy,White,Female,Dentist
Nancy,White,Female,Accountant
Nancy,White,Female,Librarian
Nancy,White,Female,Dentist
Nancy,White,Female,Librarian
Nancy,White,Female,graphic designer
Nancy,White,Female,Accountant
Nancy,White,Female,Dentist
Nancy,White,Female,Teacher
Nancy,White,Female,Teacher
Nancy,White,Female,Nurse
Nancy,White,Female,Florist
Nancy,White,Female,Lawyer
Nancy,White,Female,Accountant
Nancy,White,Female,Accountant
Nancy,White,Female,Teacher
Nancy,White,Female,Librarian
Nancy,White,Female,Dentist
Nancy,White,Female,Chef
Nancy,White,Female,Accountant
Nancy,White,Female,Dentist
Nancy,White,Female,Dentist
Nancy,White,Female,Accountant
Nancy,White,Female,Chef
Nancy,White,Female,Accountant
Nancy,White,Female,Accountant
Nancy,White,Female,Architect
Nancy,White,Female,Lawyer
Nancy,White,Female,Nurse
Nancy,White,Female,Dentist
Nancy,White,Female,Teacher
Nancy,White,Female,Real estate agent
Nancy,White,Female,Teacher
Nancy,White,Female,Accountant
Nancy,White,Female,Dentist
Nancy,White,Female,Electrician
Nancy,White,Female,Teacher
Debbie,White,Female,Accountant.
Debbie,White,Female,accountant
Debbie,White,Female,Accountant
Debbie,White,Female,nurse
Debbie,White,Female,accountant
Debbie,White,Female,teacher
Debbie,White,Female,accountant
Debbie,White,Female,teacher
Debbie,White,Female,accountant
Debbie,White,Female,teacher
Debbie,White,Female,dentist
Debbie,White,Female,nurse
Debbie,White,Female,Nurse
Debbie,White,Female,dentist
Debbie,White,Female,nurse
Debbie,White,Female,Accountant
Debbie,White,Female,Nurse
Debbie,White,Female,Accountant
Debbie,White,Female,Architect
Debbie,White,Female,Architect
Debbie,White,Female,Accountant
Debbie,White,Female,nurse
Debbie,White,Female,Accountant
Debbie,White,Female,Accountant
Debbie,White,Female,Accountant
Debbie,White,Female,nurse
Debbie,White,Female,Librarian
